feature,importance
Appendix_Diameter,0.29545182789883384
US_Number,0.28345070750267176
Length_of_Stay,0.14289101935984228
CRP,0.09000470530842142
Appendix_on_US,0.08795033363732685
WBC_Count,0.08642671402661528
Alvarado_Score,0.08634660858152432
Peritonitis_no,0.08114955743394048
Neutrophil_Percentage,0.06875567571276031
Appendix_Wall_Layers_raised,0.058014555267352996
Appendicolith_yes,0.0511875611968875
Perforation_not excluded,0.05023395310378187
Peritonitis_local,0.04898792153483811
Paedriatic_Appendicitis_Score,0.04796819892876991
WBC_in_Urine_+++,0.04255914492989654
Neutrophilia,0.029548924358227424
Appendix_Wall_Layers_intact,0.028215738315217065
Perfusion_no,0.027525221176337045
RBC_in_Urine_no,0.02742462507877752
Appendix_Wall_Layers_partially raised,0.026981976427031595
Lower_Right_Abd_Pain,0.025979879054071953
Ketones_in_Urine_++,0.023687953017058172
Contralateral_Rebound_Tenderness,0.017640607790206264
Perforation_yes,0.01737366932438067
Coughing_Pain,0.016728003660407165
Perfusion_hypoperfused,0.01660044983675646
Free_Fluids,0.01602050219252682
Age,0.015970499712113284
Appendicular_Abscess_no,0.01548209072048956
Loss_of_Appetite,0.015401776683578783
Conglomerate_of_Bowel_Loops,0.014770358498696234
Pathological_Lymph_Nodes,0.014219923369501952
Nausea,0.012658633654655027
Appendix_Wall_Layers_upset,0.009812740483831295
Sex,0.009007978356135427
Perfusion_hyperperfused,0.008757541056422458
Thrombocyte_Count,0.00826699351670479
Meteorism,0.006579267201537453
Stool_diarrhea,0.006050157096556763
Appendicular_Abscess_yes,0.00579392059322692
Weight,0.005204406830636055
"Stool_constipation, diarrhea",0.005114385064322491
Target_Sign,0.004612898065306403
Surrounding_Tissue_Reaction,0.004067000921558428
RBC_in_Urine_+++,0.0023347354153286926
Dysuria,0.0023297690040753327
Segmented_Neutrophils,0.001243078163535083
Coprostasis,0.0007755970716880611
Body_Temperature,0.000701179315381717
BMI,5.397641450843871e-05
Appendicolith_suspected,0.0
Perforation_no,0.0
Ileus,0.0
Perfusion_present,0.0
Bowel_Wall_Thickening,0.0
Perforation_suspected,0.0
Appendicular_Abscess_suspected,0.0
Stool_constipation,0.0
Appendicolith_no,0.0
US_Performed,0.0
Height,0.0
Migratory_Pain,0.0
RBC_Count,0.0
Hemoglobin,0.0
RDW,0.0
Ketones_in_Urine_+,0.0
Ketones_in_Urine_+++,0.0
Ketones_in_Urine_no,0.0
RBC_in_Urine_+,0.0
RBC_in_Urine_++,0.0
WBC_in_Urine_+,0.0
WBC_in_Urine_++,0.0
WBC_in_Urine_no,0.0
Stool_normal,0.0
Peritonitis_generalized,0.0
Psoas_Sign,0.0
Ipsilateral_Rebound_Tenderness,0.0
Enteritis,0.0
