feature,importance
US_Number,0.5202372344109452
Length_of_Stay,0.41201569239330027
Peritonitis_no,0.17075154877568166
CRP,0.1302269219360268
Peritonitis_local,0.12699063885759698
Appendix_Diameter,0.1263391641175169
WBC_Count,0.11291948957850706
Alvarado_Score,0.0955655086315732
Appendix_Wall_Layers_intact,0.08797207365099347
Neutrophil_Percentage,0.07453621284165712
Body_Temperature,0.07321688188604525
Perforation_yes,0.05943243355642558
Appendicolith_yes,0.04102880514692364
Age,0.037349184665455004
Appendix_Wall_Layers_upset,0.03627170613854935
Perfusion_hypoperfused,0.03618267470119485
Appendix_Wall_Layers_partially raised,0.03537993377073856
Paedriatic_Appendicitis_Score,0.03497158212604723
WBC_in_Urine_+++,0.03392581598017608
Appendicular_Abscess_no,0.0332904979866131
Neutrophilia,0.032941406362224424
Peritonitis_generalized,0.02908638847539935
Weight,0.028953524371987838
Appendix_Wall_Layers_raised,0.02802192015849947
Ileus,0.02751062238286628
Loss_of_Appetite,0.027047720921648866
Perfusion_no,0.025001243879665402
Dysuria,0.022019006608938296
Coprostasis,0.02201274756923466
Perforation_not excluded,0.021094653622953263
Ketones_in_Urine_no,0.020865444448029402
Coughing_Pain,0.02069633063047238
RBC_in_Urine_no,0.02064526323150706
Surrounding_Tissue_Reaction,0.01789632648774675
Height,0.01769656647201745
Nausea,0.017161824286606064
Ketones_in_Urine_+,0.015490197027419494
Free_Fluids,0.015020613248379444
Contralateral_Rebound_Tenderness,0.012417344335287739
RDW,0.01160860523154672
Ketones_in_Urine_++,0.011606955203686597
RBC_in_Urine_++,0.011410315068620225
Target_Sign,0.011023815508845347
Stool_diarrhea,0.009719843489936597
"Stool_constipation, diarrhea",0.008606917630422206
Pathological_Lymph_Nodes,0.007059116204407134
Lower_Right_Abd_Pain,0.006134873054188361
Perfusion_present,0.005560287940648667
US_Performed,0.005414530398699435
RBC_in_Urine_+,0.004173968336814271
RBC_in_Urine_+++,0.004066828584440074
Psoas_Sign,0.0021844921050644395
Hemoglobin,0.0017581511519448867
Perforation_no,0.0
Meteorism,0.0
Appendicular_Abscess_yes,0.0
Conglomerate_of_Bowel_Loops,0.0
Perforation_suspected,0.0
Appendicular_Abscess_suspected,0.0
Bowel_Wall_Thickening,0.0
Stool_constipation,0.0
Perfusion_hyperperfused,0.0
Ketones_in_Urine_+++,0.0
Sex,0.0
Appendix_on_US,0.0
Migratory_Pain,0.0
Segmented_Neutrophils,0.0
RBC_Count,0.0
Thrombocyte_Count,0.0
WBC_in_Urine_+,0.0
Appendicolith_suspected,0.0
WBC_in_Urine_++,0.0
WBC_in_Urine_no,0.0
BMI,0.0
Stool_normal,0.0
Ipsilateral_Rebound_Tenderness,0.0
Appendicolith_no,0.0
Enteritis,0.0
