feature,importance
Length_of_Stay,0.2094419990122885
CRP,0.12473600154040633
US_Number,0.05271723418871854
WBC_Count,0.049997805564255475
Body_Temperature,0.03129050404478912
BMI,0.03129021649233232
Neutrophil_Percentage,0.030906112630458855
Weight,0.028814324284300277
Height,0.026594910172453707
Age,0.025910381017374532
Thrombocyte_Count,0.02579477823780892
Ileus,0.023700798678463093
RBC_Count,0.022586891077288618
Peritonitis_no,0.02035166552296221
RDW,0.01941431217472431
Hemoglobin,0.019128176805924445
Alvarado_Score,0.017843457577993712
Perforation_yes,0.015791813976686025
Appendix_Diameter,0.015509928857057027
Appendicular_Abscess_no,0.012797528066167966
Paedriatic_Appendicitis_Score,0.011561091030168827
Appendix_Wall_Layers_intact,0.01084930731342006
Loss_of_Appetite,0.009967557290099986
Appendicular_Abscess_yes,0.009558214888122382
Conglomerate_of_Bowel_Loops,0.00902488051980615
Segmented_Neutrophils,0.00744264540021133
Free_Fluids,0.007248269916366898
Peritonitis_generalized,0.007199087017047785
Peritonitis_local,0.007158612763154545
Nausea,0.006492237678896308
Perforation_not excluded,0.00599358473126135
Appendicolith_yes,0.005357698762638553
Psoas_Sign,0.005111531346676494
Neutrophilia,0.004951003060357406
Appendix_on_US,0.004615402709754686
Appendix_Wall_Layers_raised,0.004220501868653379
Ketones_in_Urine_no,0.004143478245926037
Stool_normal,0.0038686534407218736
RBC_in_Urine_no,0.0037765016413498984
RBC_in_Urine_+,0.0037550872030099303
Sex,0.00374643626009069
Contralateral_Rebound_Tenderness,0.00368216831932487
Ketones_in_Urine_+++,0.00355722314255943
Stool_constipation,0.003541954770557953
Coughing_Pain,0.003536255302218833
Appendix_Wall_Layers_partially raised,0.0033345129439131755
Perfusion_hypoperfused,0.003151694517080611
RBC_in_Urine_+++,0.0029258395307379713
Migratory_Pain,0.002768756863726299
Stool_diarrhea,0.0026305626591428487
Dysuria,0.002059914983612334
Perforation_no,0.001939373226467347
Ipsilateral_Rebound_Tenderness,0.0018666464510060817
Ketones_in_Urine_+,0.0018370648929615988
Lower_Right_Abd_Pain,0.0017241369111909673
Coprostasis,0.0016764771665048314
WBC_in_Urine_++,0.0016596698729064137
WBC_in_Urine_+,0.001655360665853725
US_Performed,0.0015654661246766726
Ketones_in_Urine_++,0.0014111896614798101
Target_Sign,0.0014062042417637367
WBC_in_Urine_no,0.0012767862531344024
Appendicolith_no,0.0012465526543117046
Enteritis,0.0012382766844782234
Pathological_Lymph_Nodes,0.0010987620359292354
Surrounding_Tissue_Reaction,0.0010958129890152057
Meteorism,0.0010383426463563912
Perfusion_hyperperfused,0.0010267430397855474
RBC_in_Urine_++,0.0007583671533091834
WBC_in_Urine_+++,0.0005927086397044145
Appendix_Wall_Layers_upset,0.0005616133628471649
Perforation_suspected,0.00041526294032332757
Appendicular_Abscess_suspected,0.000283050035841037
Perfusion_present,0.00021453050930354692
"Stool_constipation, diarrhea",0.0001802715208497858
Appendicolith_suspected,0.00017149107846481374
Bowel_Wall_Thickening,0.0001472294656435774
Perfusion_no,6.310373282850348e-05
