Target,Model,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,Train_AUC,Test_AUC
Diagnosis,Logistic Regression,0.7532051282051282,0.75,0.6907630522088354,0.688,0.8322409023196425,0.8329066393582523
Diagnosis,Random Forest,1.0,0.7564102564102564,1.0,0.6779661016949152,1.0,0.8477555896910735
Diagnosis,Gradient Boosting,0.9375,0.7435897435897436,0.9221556886227545,0.6825396825396826,0.9836986592892105,0.8071343232633555
Diagnosis,HistGradientBoosting,1.0,0.7564102564102564,1.0,0.6984126984126984,1.0,0.8660180918245435
Diagnosis,SVM,0.8525641025641025,0.7564102564102564,0.8145161290322581,0.6833333333333333,0.927250478825282,0.800989930022188
Diagnosis,KNN,0.7724358974358975,0.7115384615384616,0.7066115702479339,0.6218487394957983,0.8636624813790168,0.7424475166410651
Diagnosis,Decision Tree,1.0,0.7051282051282052,1.0,0.6515151515151515,1.0,0.7014848950332822
Diagnosis_selected,Logistic Regression,0.7451923076923077,0.7564102564102564,0.6863905325443787,0.6984126984126984,0.7951159821238561,0.8009899300221881
Diagnosis_selected,Random Forest,1.0,0.7564102564102564,1.0,0.6833333333333333,1.0,0.792541389315583
Diagnosis_selected,Gradient Boosting,0.8573717948717948,0.717948717948718,0.8194726166328601,0.6206896551724138,0.9399659502021706,0.7772657450076804
Diagnosis_selected,HistGradientBoosting,0.9839743589743589,0.7435897435897436,0.9803921568627451,0.6721311475409836,0.9991274739306235,0.7584912101041134
Diagnosis_selected,SVM,0.7644230769230769,0.7243589743589743,0.7089108910891089,0.6614173228346457,0.8439561608852949,0.771121351766513
Diagnosis_selected,KNN,0.7660256410256411,0.6987179487179487,0.7125984251968503,0.6178861788617886,0.8536869546712066,0.7552483358934972
Diagnosis_selected,Decision Tree,1.0,0.6858974358974359,1.0,0.6201550387596899,1.0,0.6776753712237583
Management,Logistic Regression,0.8330658105939005,0.7948717948717948,0.8204480400712885,0.7757816159638354,0.9108939663551703,0.8476716294458229
Management,Random Forest,1.0,0.8333333333333334,1.0,0.8131083290105721,1.0,0.8993982630272953
Management,Gradient Boosting,0.9759229534510433,0.8012820512820513,0.9757134337655858,0.781451715780074,0.9995529379886953,0.8872422111938243
Management,HistGradientBoosting,1.0,0.8846153846153846,1.0,0.8743574234169139,1.0,0.942733664185277
Management,SVM,0.8715890850722311,0.7564102564102564,0.8555525263586594,0.734264608449588,0.9659560445538115,0.8744299696719051
Management,KNN,0.8362760834670947,0.717948717948718,0.8209073612218135,0.6822779666816364,0.9262079031410446,0.7963854425144749
Management,Decision Tree,1.0,0.7628205128205128,1.0,0.7557836715912317,1.0,0.7634408602150538
Management_selected,Logistic Regression,0.8234349919743178,0.782051282051282,0.8083488816634884,0.7638780972114306,0.8623103895658734,0.8146022883926108
Management_selected,Random Forest,1.0,0.8012820512820513,1.0,0.7791237241722678,1.0,0.801327888061759
Management_selected,Gradient Boosting,0.9454253611556982,0.7884615384615384,0.9447987262244669,0.7737348557092296,0.9932921578755484,0.8242735042735043
Management_selected,HistGradientBoosting,1.0,0.75,1.0,0.7422748191978961,1.0,0.8013620071684588
Management_selected,SVM,0.8362760834670947,0.7435897435897436,0.820174788808749,0.7179360700793148,0.8813123168469319,0.8056486076647367
Management_selected,KNN,0.8234349919743178,0.7115384615384616,0.8052822350196761,0.6902482269503546,0.9224767626177994,0.7448618003859939
Management_selected,Decision Tree,1.0,0.6730769230769231,1.0,0.6730769230769231,1.0,0.6828494623655914
Severity,Logistic Regression,0.9038461538461539,0.8653846153846154,0.9446494464944649,0.922509225092251,0.933379763207641,0.8639520202020202
Severity,Random Forest,1.0,0.8910256410256411,1.0,0.9377289377289377,1.0,0.8879419191919192
Severity,Gradient Boosting,0.9839743589743589,0.8397435897435898,0.9906367041198502,0.9049429657794676,0.9985673067356482,0.8854166666666666
Severity,HistGradientBoosting,1.0,0.8525641025641025,1.0,0.9125475285171103,1.0,0.8993055555555556
Severity,SVM,0.9342948717948718,0.8589743589743589,0.9624885635864593,0.920863309352518,0.9828673763804597,0.829229797979798
Severity,KNN,0.8862179487179487,0.8397435897435898,0.936663693131133,0.9110320284697508,0.9341259576161577,0.7357954545454545
Severity,Decision Tree,1.0,0.8653846153846154,1.0,0.9219330855018587,1.0,0.6988636363636365
Severity_selected,Logistic Regression,0.8974358974358975,0.8910256410256411,0.941923774954628,0.9390681003584229,0.861844592577853,0.8008207070707071
Severity_selected,Random Forest,1.0,0.8589743589743589,1.0,0.9185185185185185,1.0,0.8745265151515151
Severity_selected,Gradient Boosting,0.9535256410256411,0.8653846153846154,0.9733210671573137,0.922509225092251,0.9819221967963387,0.8042929292929293
Severity_selected,HistGradientBoosting,0.9951923076923077,0.8012820512820513,0.9971671388101983,0.8847583643122676,0.9998209133419561,0.7995580808080808
Severity_selected,SVM,0.8942307692307693,0.8782051282051282,0.9405405405405406,0.9323843416370107,0.8957317679832852,0.827020202020202
Severity_selected,KNN,0.8942307692307693,0.8717948717948718,0.9401088929219601,0.927536231884058,0.9228932444532882,0.7929292929292929
Severity_selected,Decision Tree,1.0,0.782051282051282,1.0,0.8661417322834646,1.0,0.6666666666666667
